input,output
"[S(p, k)] S(p, a) | P(h, q) | B(u, s) | B(r, c) | S(n, k) | S(a, n) | B(f, v)","[1, 0, 0, 0, 1, 1, 0]"
"[B(s, o)] B(p, o) | S(b, i) | B(m, p) | B(c, u) | B(n, h) | B(s, m)","[1, 0, 1, 0, 0, 1]"
"[P(w, f)] P(n, s) | P(w, n) | P(b, g) | P(r, j) | P(j, f) | P(s, r) | S(h, y)","[1, 1, 0, 1, 1, 1, 0]"
"[P(a, e)] B(z, l) | P(p, c) | P(a, p) | P(c, e) | P(j, v)","[0, 1, 1, 1, 0]"
"[P(g, i)] P(g, c) | S(y, t) | B(s, m) | P(k, u) | P(u, i) | P(c, k)","[1, 0, 0, 1, 1, 1]"
"[B(w, u)] B(v, d) | B(w, k) | B(f, m) | B(m, u) | P(a, o) | B(k, b) | B(b, f)","[0, 1, 1, 1, 0, 1, 1]"
"[B(c, y)] B(s, a) | S(z, p) | P(g, k) | S(m, l) | B(a, b) | B(c, s) | P(x, u) | B(b, y)","[1, 0, 0, 0, 1, 1, 0, 1]"
"[S(d, q)] P(m, w) | S(e, q) | S(b, x) | S(y, s) | S(d, u) | S(u, y) | S(s, e)","[0, 1, 0, 1, 1, 1, 1]"
"[S(d, r)] P(s, e) | S(d, g) | S(g, t) | S(m, r) | S(t, m) | B(u, j) | P(l, n) | S(z, h)","[0, 1, 1, 1, 1, 0, 0, 0]"
"[P(h, b)] P(u, o) | P(h, x) | P(k, a) | P(j, d) | S(y, g) | P(x, u) | P(o, b)","[1, 1, 0, 0, 0, 1, 1]"
"[P(s, a)] P(q, l) | P(y, a) | P(s, u) | P(e, d) | P(u, y)","[0, 1, 1, 0, 1]"
"[S(t, y)] S(q, c) | S(z, d) | S(t, z) | S(d, y) | S(i, o)","[0, 1, 1, 1, 0]"
"[S(e, j)] S(e, c) | S(c, d) | S(l, m) | B(a, p) | S(d, j) | S(h, n) | B(b, w)","[1, 1, 0, 0, 1, 0, 0]"
"[S(k, l)] S(k, y) | S(s, p) | S(y, s) | S(p, t) | S(e, o) | P(d, a) | S(t, l) | P(m, u)","[1, 1, 1, 1, 0, 0, 1, 0]"
"[S(w, t)] S(l, k) | S(v, z) | S(z, t) | P(g, e) | S(q, o) | S(w, n) | S(m, v) | S(n, m)","[0, 1, 1, 0, 0, 1, 1, 1]"
"[B(r, z)] B(v, z) | S(k, l) | B(a, v) | P(o, f) | B(r, a) | B(b, c) | B(n, u)","[1, 0, 1, 0, 1, 0, 0]"
"[B(r, t)] S(u, d) | P(j, b) | B(w, t) | B(r, o) | B(o, w)","[0, 0, 1, 1, 1]"
"[B(q, y)] B(v, y) | B(n, j) | B(p, r) | B(q, p) | B(f, v) | B(r, f) | B(g, i) | B(h, c)","[1, 0, 1, 1, 1, 1, 0, 0]"
"[B(b, j)] S(u, i) | P(g, s) | B(b, o) | B(q, f) | B(o, q) | B(f, j)","[0, 0, 1, 1, 1, 1]"
"[P(q, e)] S(u, b) | B(h, f) | P(k, i) | P(i, w) | P(w, e) | P(q, g) | P(g, k)","[0, 0, 1, 1, 1, 1, 1]"
"[P(t, l)] P(r, l) | B(y, k) | P(h, r) | P(t, h) | P(i, p) | P(q, n)","[1, 0, 1, 1, 0, 0]"
"[B(p, t)] B(u, g) | B(g, n) | B(n, t) | S(e, y) | P(a, v) | B(p, u) | B(h, l)","[1, 1, 1, 0, 0, 1, 0]"
"[B(q, l)] B(r, f) | B(x, r) | B(f, l) | B(v, p) | B(c, w) | B(q, x) | P(h, y) | P(t, u)","[1, 1, 1, 0, 0, 1, 0, 0]"
"[S(p, b)] S(a, z) | B(h, k) | S(d, j) | B(w, o) | P(m, c) | S(z, x) | S(n, a) | S(x, b) | S(p, n)","[1, 0, 0, 0, 0, 1, 1, 1, 1]"
"[P(c, y)] P(a, y) | P(d, x) | P(o, a) | P(q, g) | P(c, o)","[1, 0, 1, 0, 1]"
"[B(t, x)] P(z, v) | B(g, l) | P(k, r) | B(l, x) | P(d, f) | B(t, u) | B(u, g)","[0, 1, 0, 1, 0, 1, 1]"
"[P(k, a)] P(c, y) | S(i, r) | P(d, p) | P(x, a) | P(p, x) | P(k, d)","[0, 0, 1, 1, 1, 1]"
"[B(a, x)] B(z, b) | B(a, z) | P(l, i) | P(t, y) | B(b, x) | S(u, m) | B(n, o)","[1, 1, 0, 0, 1, 0, 0]"
"[S(l, z)] S(u, y) | P(x, m) | B(a, g) | S(l, k) | S(k, u) | S(y, s) | B(h, n) | S(s, z)","[1, 0, 0, 1, 1, 1, 0, 1]"
"[S(a, b)] S(w, o) | S(i, u) | S(t, w) | S(f, n) | B(p, y) | B(l, k) | S(q, t) | S(a, q) | S(o, b)","[1, 0, 1, 0, 0, 0, 1, 1, 1]"
"[S(j, y)] S(j, f) | S(f, u) | S(u, n) | S(w, m) | P(l, o) | S(n, y)","[1, 1, 1, 0, 0, 1]"
"[S(s, t)] S(g, p) | S(s, h) | S(p, t) | S(h, g) | P(q, v) | S(w, i)","[1, 1, 1, 1, 0, 0]"
"[P(g, m)] P(w, i) | P(c, d) | P(d, m) | P(g, c) | B(b, p)","[0, 1, 1, 1, 0]"
"[B(b, n)] B(l, k) | P(e, p) | B(i, l) | B(b, m) | S(c, r) | B(m, i) | B(k, n) | P(v, t)","[1, 0, 1, 1, 0, 1, 1, 0]"
"[P(l, w)] P(s, w) | P(a, o) | P(z, s) | P(l, d) | B(c, y) | P(x, n) | P(d, z)","[1, 0, 1, 1, 0, 0, 1]"
"[B(s, v)] S(f, c) | B(i, v) | B(p, o) | B(j, l) | B(l, i) | B(s, j)","[0, 1, 0, 1, 1, 1]"
"[S(l, p)] S(l, w) | S(i, p) | B(u, k) | B(m, f) | S(w, i)","[1, 1, 0, 0, 1]"
"[S(w, x)] S(w, l) | S(m, x) | P(p, o) | B(u, d) | S(l, m)","[1, 1, 0, 0, 1]"
"[B(v, o)] B(j, b) | B(a, k) | B(c, e) | B(e, o) | B(f, u) | B(v, c)","[0, 0, 1, 1, 0, 1]"
"[P(d, w)] P(d, r) | S(e, s) | P(r, y) | S(x, f) | P(y, w)","[1, 0, 1, 0, 1]"
"[B(z, v)] B(o, n) | P(s, i) | B(j, b) | P(u, y) | B(z, j) | B(b, v)","[0, 0, 1, 0, 1, 1]"
"[B(g, d)] P(n, c) | B(g, j) | P(p, t) | B(j, m) | B(m, d)","[0, 1, 0, 1, 1]"
"[P(c, q)] P(u, t) | B(j, o) | P(p, q) | P(t, p) | P(w, u) | S(h, s) | P(c, w) | S(n, l)","[1, 0, 1, 1, 1, 0, 1, 0]"
"[B(u, m)] B(w, j) | B(l, a) | B(u, w) | B(j, m) | S(t, o)","[1, 0, 1, 1, 0]"
"[S(w, j)] B(b, n) | S(a, e) | S(u, j) | B(t, s) | S(p, v) | S(f, a) | S(w, f) | P(m, i) | S(e, u)","[0, 1, 1, 0, 0, 1, 1, 0, 1]"
"[S(u, k)] S(z, p) | S(i, c) | S(g, k) | S(o, e) | S(u, z) | S(r, g) | S(p, r)","[1, 0, 1, 0, 1, 1, 1]"
"[P(e, n)] P(e, x) | P(k, n) | S(u, b) | P(t, l) | P(x, k)","[1, 1, 0, 0, 1]"
"[S(a, n)] S(i, x) | S(z, n) | P(c, t) | S(u, e) | B(f, l) | S(x, z) | S(a, i)","[1, 1, 0, 0, 0, 1, 1]"
"[P(q, l)] P(t, n) | P(q, t) | P(b, l) | P(i, b) | S(r, g) | P(a, e) | P(n, i)","[1, 1, 1, 1, 0, 0, 1]"
"[B(q, v)] B(k, y) | S(i, h) | B(g, k) | S(l, o) | B(z, g) | B(y, v) | B(j, e) | B(q, z)","[1, 0, 1, 0, 1, 1, 0, 1]"
"[B(l, y)] S(j, e) | B(g, y) | S(z, b) | B(m, g) | B(l, c) | B(c, f) | P(t, r) | B(f, m)","[0, 1, 0, 1, 1, 1, 0, 1]"
"[P(l, g)] P(l, n) | P(n, d) | P(d, h) | P(h, g) | B(r, i) | P(u, x)","[1, 1, 1, 1, 0, 0]"
"[P(i, s)] P(d, s) | P(m, q) | P(p, d) | P(l, p) | P(i, w) | B(h, g) | P(w, l)","[1, 0, 1, 1, 1, 0, 1]"
"[B(x, q)] S(g, u) | P(c, b) | B(n, q) | B(t, h) | B(e, n) | B(m, k) | B(k, e) | B(x, m) | S(f, a)","[0, 0, 1, 0, 1, 1, 1, 1, 0]"
"[S(i, n)] S(c, x) | S(i, c) | P(w, l) | P(j, m) | S(e, d) | S(x, n)","[1, 1, 0, 0, 0, 1]"
"[P(j, k)] P(b, l) | P(p, k) | P(j, e) | P(u, p) | P(e, d) | P(d, u) | B(h, g)","[0, 1, 1, 1, 1, 1, 0]"
"[P(k, q)] B(p, s) | P(d, y) | P(y, l) | P(e, j) | P(k, d) | S(x, c) | P(m, q) | P(f, h) | P(l, m)","[0, 1, 1, 0, 1, 0, 1, 0, 1]"
"[P(e, p)] P(x, w) | P(e, s) | P(s, k) | P(y, z) | P(u, d) | P(k, x) | P(b, h) | S(q, r) | P(w, p)","[1, 1, 1, 0, 0, 1, 0, 0, 1]"
"[B(o, k)] B(j, k) | B(o, p) | S(m, q) | P(f, l) | B(p, w) | B(e, j) | B(w, e)","[1, 1, 0, 0, 1, 1, 1]"
"[P(a, d)] S(o, r) | P(a, p) | P(s, h) | P(h, u) | P(u, d) | P(p, s) | S(m, f)","[0, 1, 1, 1, 1, 1, 0]"
"[P(a, m)] P(a, x) | P(w, l) | P(g, m) | B(f, r) | P(x, g)","[1, 0, 1, 0, 1]"
"[S(d, x)] S(v, c) | B(z, j) | S(c, x) | S(r, v) | B(p, i) | B(s, a) | S(d, r)","[1, 0, 1, 1, 0, 0, 1]"
"[S(w, z)] S(d, a) | S(s, x) | S(w, d) | B(f, r) | S(a, s) | B(e, b) | S(x, z) | B(u, k)","[1, 1, 1, 0, 1, 0, 1, 0]"
"[P(v, w)] P(m, a) | P(a, w) | B(p, e) | S(o, r) | P(v, m)","[1, 1, 0, 0, 1]"
"[B(m, z)] B(o, z) | B(k, o) | P(b, v) | B(m, k) | S(w, p) | P(c, x)","[1, 1, 0, 1, 0, 0]"
"[S(a, r)] S(w, f) | S(a, n) | B(x, i) | S(p, r) | S(n, q) | S(q, p)","[0, 1, 0, 1, 1, 1]"
"[B(j, v)] B(w, y) | B(q, v) | B(j, w) | B(z, f) | P(o, l) | B(y, d) | B(d, q) | B(c, b)","[1, 1, 1, 0, 0, 1, 1, 0]"
"[P(p, v)] P(k, y) | P(p, h) | P(h, u) | S(d, b) | S(m, g) | P(y, v) | P(u, k)","[1, 1, 1, 0, 0, 1, 1]"
"[S(c, q)] S(c, v) | S(v, e) | S(k, a) | B(n, j) | S(a, q) | S(p, y) | S(e, k)","[1, 1, 1, 0, 1, 0, 1]"
"[B(g, n)] B(l, o) | B(u, n) | S(a, w) | B(o, u) | P(i, b) | B(t, q) | B(g, l)","[1, 1, 0, 1, 0, 0, 1]"
"[B(k, z)] B(d, f) | B(x, u) | B(k, o) | B(o, m) | S(p, j) | B(n, z) | B(m, n)","[0, 0, 1, 1, 0, 1, 1]"
"[S(w, l)] S(j, f) | S(w, j) | P(k, n) | S(f, g) | P(c, p) | S(o, x) | S(g, l)","[1, 1, 0, 1, 0, 0, 1]"
"[S(a, g)] S(u, q) | S(q, j) | S(z, p) | S(j, g) | S(a, u) | S(i, o)","[1, 1, 0, 1, 1, 0]"
"[S(k, v)] B(m, c) | S(z, o) | S(y, g) | P(s, q) | B(x, a) | S(o, v) | S(u, z) | S(k, u)","[0, 1, 0, 0, 0, 1, 1, 1]"
"[P(b, q)] P(y, l) | P(i, t) | P(b, y) | P(l, q) | B(n, x) | B(o, k)","[1, 0, 1, 1, 0, 0]"
"[S(q, i)] S(q, a) | S(l, u) | B(z, r) | S(e, i) | S(a, e) | S(g, f) | S(n, s)","[1, 0, 0, 1, 1, 0, 0]"
"[B(d, y)] B(e, j) | S(t, h) | B(d, z) | B(j, y) | P(r, p) | B(z, e)","[1, 0, 1, 1, 0, 1]"
"[S(d, e)] S(t, e) | B(p, w) | S(j, f) | S(c, t) | S(r, c) | B(o, i) | S(d, r) | B(z, m)","[1, 0, 0, 1, 1, 0, 1, 0]"
"[S(a, u)] B(i, p) | S(l, u) | S(a, s) | S(s, l) | P(r, g) | P(n, t) | P(b, q)","[0, 1, 1, 1, 0, 0, 0]"
"[P(e, r)] P(h, r) | B(b, q) | P(e, c) | S(u, t) | S(o, n) | P(c, p) | P(p, h)","[1, 0, 1, 0, 0, 1, 1]"
"[P(l, e)] P(p, f) | P(l, j) | P(f, e) | P(r, y) | P(j, o) | P(o, p) | B(m, v)","[1, 1, 1, 0, 1, 1, 0]"
"[P(r, w)] P(o, b) | P(k, v) | P(v, w) | P(t, c) | P(r, h) | P(h, k) | S(i, g)","[0, 1, 1, 0, 1, 1, 0]"
"[P(f, w)] P(y, v) | P(s, j) | P(b, w) | P(j, b) | S(x, l) | P(u, s) | P(f, u) | P(k, e) | P(a, p)","[0, 1, 1, 1, 0, 1, 1, 0, 0]"
"[B(e, w)] S(b, j) | B(e, h) | B(l, z) | B(p, w) | B(t, p) | B(h, t) | B(v, x) | B(f, u)","[0, 1, 0, 1, 1, 1, 0, 0]"
"[S(g, z)] S(q, d) | S(g, e) | S(w, z) | B(x, j) | P(f, r) | S(e, w)","[0, 1, 1, 0, 0, 1]"
"[B(h, k)] B(h, b) | B(s, k) | B(v, l) | B(l, s) | S(i, g) | B(b, v) | B(z, d)","[1, 1, 1, 1, 0, 1, 0]"
"[S(f, l)] S(c, m) | S(y, c) | P(z, e) | S(u, r) | S(m, l) | S(f, y) | S(g, o)","[1, 1, 0, 0, 1, 1, 0]"
"[B(n, y)] S(b, c) | B(j, x) | S(k, o) | P(l, f) | B(x, y) | S(d, e) | B(n, j)","[0, 1, 0, 0, 1, 0, 1]"
"[B(i, o)] B(t, k) | B(a, l) | B(i, a) | B(l, w) | B(w, y) | B(y, o) | P(e, s)","[0, 1, 1, 1, 1, 1, 0]"
"[B(w, b)] B(z, s) | P(n, x) | S(j, h) | B(r, z) | S(f, m) | B(s, b) | B(w, r) | B(v, t)","[1, 0, 0, 1, 0, 1, 1, 0]"
"[P(u, d)] P(q, i) | P(z, d) | P(j, p) | P(u, h) | P(i, z) | S(o, k) | P(s, f) | P(h, q)","[1, 1, 0, 1, 1, 0, 0, 1]"
"[S(f, t)] S(f, j) | S(q, u) | S(j, h) | S(k, l) | B(i, s) | P(m, n) | S(d, t) | S(p, d) | S(h, p)","[1, 0, 1, 0, 0, 0, 1, 1, 1]"
"[S(a, y)] S(v, y) | S(b, v) | S(a, f) | B(l, q) | S(f, b) | P(s, n)","[1, 1, 1, 0, 1, 0]"
"[P(w, y)] P(a, f) | P(w, p) | P(m, a) | P(c, e) | B(t, i) | P(f, y) | P(p, m)","[1, 1, 1, 0, 0, 1, 1]"
"[S(e, i)] S(n, t) | S(t, i) | B(w, y) | B(g, q) | S(e, n)","[1, 1, 0, 0, 1]"
"[S(j, t)] S(j, s) | S(q, u) | S(k, t) | B(r, f) | S(a, k) | S(s, a) | B(n, b)","[1, 0, 1, 0, 1, 1, 0]"
"[P(k, g)] B(q, y) | S(x, p) | P(m, g) | P(n, m) | P(k, n)","[0, 0, 1, 1, 1]"
"[P(j, u)] S(g, c) | P(l, z) | P(t, q) | P(q, u) | P(j, t) | S(y, m) | P(e, s)","[0, 0, 1, 1, 1, 0, 0]"
"[B(w, p)] B(w, u) | B(h, g) | B(j, n) | B(g, p) | P(m, t) | B(u, h)","[1, 1, 0, 1, 0, 1]"
"[S(p, v)] S(o, b) | S(z, k) | S(p, o) | B(x, j) | S(b, v)","[1, 0, 1, 0, 1]"
"[P(j, g)] B(f, c) | P(d, v) | P(u, w) | P(j, p) | S(h, z) | P(s, i) | P(w, e) | P(e, g) | P(p, u)","[0, 0, 1, 1, 0, 0, 1, 1, 1]"
"[S(v, a)] S(j, u) | S(u, a) | P(i, b) | B(f, m) | S(n, q) | S(v, j)","[1, 1, 0, 0, 0, 1]"
"[S(j, c)] B(v, g) | B(k, l) | S(r, c) | S(w, r) | S(j, w) | P(o, q)","[0, 0, 1, 1, 1, 0]"
"[B(n, k)] B(z, r) | B(h, s) | P(v, i) | B(s, k) | B(n, h) | S(f, u)","[0, 1, 0, 1, 1, 0]"
"[S(k, u)] S(n, f) | B(g, x) | B(a, y) | S(f, u) | S(k, n)","[1, 0, 0, 1, 1]"
"[B(d, z)] B(j, v) | P(s, k) | B(d, h) | B(n, g) | P(t, e) | B(g, w) | B(w, z) | B(h, n) | P(i, y)","[0, 0, 1, 1, 0, 1, 1, 1, 0]"
"[P(c, j)] P(c, o) | P(o, k) | P(h, n) | P(n, j) | P(k, h) | S(p, e) | S(z, v)","[1, 1, 1, 1, 1, 0, 0]"
"[B(h, c)] B(k, g) | B(h, k) | B(g, u) | B(x, c) | P(a, w) | P(q, n) | B(u, x)","[1, 1, 1, 1, 0, 0, 1]"
"[B(v, f)] B(l, k) | S(r, o) | B(n, l) | B(v, n) | B(b, m) | B(k, f) | P(x, a)","[1, 0, 1, 1, 0, 1, 0]"
"[P(n, z)] P(j, x) | B(o, m) | P(s, z) | P(g, s) | P(n, g)","[0, 0, 1, 1, 1]"
"[S(n, b)] P(z, i) | S(k, u) | S(y, t) | S(t, w) | S(x, b) | B(l, o) | S(h, d) | S(n, y) | S(w, x)","[0, 0, 1, 1, 1, 0, 0, 1, 1]"
"[S(p, k)] B(n, e) | B(y, r) | B(v, o) | S(p, b) | S(x, k) | B(t, m) | S(z, x) | S(b, z)","[0, 0, 0, 1, 1, 0, 1, 1]"
"[P(z, f)] P(z, b) | P(b, s) | P(s, f) | B(v, p) | B(g, c)","[1, 1, 1, 0, 0]"
"[B(z, f)] B(a, v) | B(r, f) | P(q, l) | B(n, r) | B(z, n) | B(g, t) | P(x, b)","[0, 1, 0, 1, 1, 0, 0]"
"[B(n, t)] B(o, a) | P(b, k) | B(l, t) | B(d, c) | B(h, l) | S(v, p) | B(n, d) | B(c, h)","[0, 0, 1, 1, 1, 0, 1, 1]"
"[B(h, x)] B(y, p) | B(h, y) | S(k, a) | P(u, l) | B(b, x) | B(p, b)","[1, 1, 0, 0, 1, 1]"
"[S(z, e)] B(i, r) | S(x, e) | P(u, c) | S(a, h) | S(g, x) | S(z, g) | B(y, p)","[0, 1, 0, 0, 1, 1, 0]"
"[S(q, z)] P(i, l) | S(c, s) | S(q, c) | P(e, o) | S(j, y) | S(s, z) | B(x, n)","[0, 1, 1, 0, 0, 1, 0]"
"[B(v, o)] B(n, g) | B(v, n) | B(g, k) | P(m, i) | B(c, o) | B(k, c) | B(l, d)","[1, 1, 1, 0, 1, 1, 0]"
"[B(k, u)] S(t, x) | B(o, d) | P(f, i) | B(q, o) | B(k, r) | S(l, m) | B(d, u) | B(r, q) | B(e, z)","[0, 1, 0, 1, 1, 0, 1, 1, 0]"
"[P(v, t)] P(v, f) | P(r, e) | P(b, t) | P(i, j) | B(m, o) | B(n, q) | P(f, i) | P(j, b)","[1, 0, 1, 1, 0, 0, 1, 1]"
"[S(w, y)] B(z, h) | S(b, r) | S(o, v) | S(u, o) | S(v, y) | B(f, x) | S(w, u)","[0, 0, 1, 1, 1, 0, 1]"
"[P(o, p)] P(e, q) | S(h, g) | P(q, p) | P(v, i) | P(o, e) | B(a, d)","[1, 0, 1, 0, 1, 0]"
"[S(h, m)] S(k, t) | S(t, r) | B(s, p) | S(h, k) | S(v, m) | P(u, o) | S(r, v)","[1, 1, 0, 1, 1, 0, 1]"
"[P(r, x)] P(s, x) | B(m, g) | P(a, s) | P(r, z) | P(z, a) | S(d, f)","[1, 0, 1, 1, 1, 0]"
"[P(q, w)] B(c, u) | P(l, o) | P(i, g) | B(h, b) | P(q, i) | P(g, y) | P(y, w)","[0, 0, 1, 0, 1, 1, 1]"
"[S(l, x)] S(j, h) | S(s, x) | S(e, s) | S(l, j) | P(a, y) | S(q, f) | B(v, p) | S(h, e) | B(k, r)","[1, 1, 1, 1, 0, 0, 0, 1, 0]"
"[B(n, v)] S(f, i) | B(m, c) | B(c, s) | P(r, q) | B(n, m) | B(k, t) | B(s, v)","[0, 1, 1, 0, 1, 0, 1]"
"[B(p, s)] S(j, q) | B(d, l) | B(c, h) | B(l, s) | B(p, d)","[0, 1, 0, 1, 1]"
"[B(t, f)] B(c, f) | B(m, c) | B(o, z) | B(p, h) | B(t, m) | S(d, r) | B(b, s)","[1, 1, 0, 0, 1, 0, 0]"
"[S(y, b)] S(j, b) | S(s, h) | P(u, d) | S(y, o) | S(o, r) | S(i, j) | P(g, f) | S(r, i)","[1, 0, 0, 1, 1, 1, 0, 1]"
"[S(d, b)] P(n, u) | S(v, t) | P(x, m) | S(t, j) | S(d, v) | S(j, b) | B(s, h) | S(q, r)","[0, 1, 0, 1, 1, 1, 0, 0]"
"[P(y, d)] B(p, l) | P(t, u) | B(q, n) | B(e, j) | P(y, t) | P(u, d)","[0, 1, 0, 0, 1, 1]"
"[P(y, q)] P(i, t) | S(x, k) | P(y, i) | P(t, v) | P(w, q) | P(v, w) | S(m, z)","[1, 0, 1, 1, 1, 1, 0]"
"[S(b, y)] S(a, y) | S(j, g) | B(l, n) | S(b, s) | S(s, a)","[1, 0, 0, 1, 1]"
"[B(r, a)] B(r, v) | P(g, z) | B(v, j) | P(s, f) | S(n, q) | B(j, a)","[1, 0, 1, 0, 0, 1]"
"[P(d, w)] S(c, j) | P(m, i) | P(t, w) | P(i, t) | S(z, h) | S(g, q) | S(s, u) | P(d, m)","[0, 1, 1, 1, 0, 0, 0, 1]"
"[S(t, a)] S(t, b) | P(z, u) | S(b, l) | P(n, e) | S(c, g) | S(l, a) | P(i, o)","[1, 0, 1, 0, 0, 1, 0]"
"[B(f, p)] B(a, r) | B(n, a) | P(b, q) | S(o, v) | B(r, p) | B(f, n)","[1, 1, 0, 0, 1, 1]"
"[S(l, e)] B(c, u) | S(l, m) | S(y, e) | B(z, s) | S(m, q) | S(q, y) | S(n, k) | S(j, i)","[0, 1, 1, 0, 1, 1, 0, 0]"
"[S(b, w)] S(j, e) | S(b, r) | P(q, d) | P(u, v) | S(r, k) | S(k, w)","[0, 1, 0, 0, 1, 1]"
"[S(b, w)] S(y, r) | S(r, w) | S(b, y) | S(k, e) | B(s, t)","[1, 1, 1, 0, 0]"
"[S(d, r)] S(z, f) | S(d, z) | S(m, h) | S(f, r) | B(p, w)","[1, 1, 0, 1, 0]"
"[B(r, n)] S(w, y) | B(s, n) | B(q, s) | P(g, j) | S(c, b) | B(r, q)","[0, 1, 1, 0, 0, 1]"
"[B(j, s)] B(f, l) | B(l, i) | B(j, f) | P(u, v) | B(i, s) | B(r, q)","[1, 1, 1, 0, 1, 0]"
"[P(s, h)] P(r, z) | B(d, p) | P(s, f) | P(t, b) | P(f, c) | P(c, m) | P(u, k) | P(m, h)","[0, 0, 1, 0, 1, 1, 0, 1]"
"[B(o, y)] B(o, g) | S(e, w) | B(v, y) | B(n, x) | B(g, v)","[1, 0, 1, 0, 1]"
"[S(p, u)] S(p, o) | S(h, a) | S(o, g) | B(s, w) | B(j, q) | S(g, u)","[1, 0, 1, 0, 0, 1]"
"[P(m, e)] B(l, s) | P(m, d) | P(k, e) | S(o, c) | P(d, n) | S(j, v) | P(n, k)","[0, 1, 1, 0, 1, 0, 1]"
"[S(j, l)] S(u, q) | S(a, t) | S(t, o) | S(n, x) | S(j, a) | S(b, s) | S(o, l)","[0, 1, 1, 0, 1, 0, 1]"
"[B(v, q)] B(v, r) | B(f, j) | B(e, q) | B(h, d) | B(r, f) | S(g, z) | B(j, e) | B(p, s) | S(k, b)","[1, 1, 1, 0, 1, 0, 1, 0, 0]"
"[P(x, c)] P(h, j) | P(j, c) | S(i, u) | P(k, n) | P(x, h)","[1, 1, 0, 0, 1]"
"[S(w, y)] B(a, j) | S(x, i) | S(q, y) | S(k, c) | S(i, q) | S(w, x) | B(o, s) | S(n, u)","[0, 1, 1, 0, 1, 1, 0, 0]"
"[S(f, c)] S(d, s) | S(s, c) | B(i, o) | S(b, n) | S(f, b) | S(n, d) | B(j, z)","[1, 1, 0, 1, 1, 1, 0]"
"[S(j, c)] S(u, v) | P(m, y) | S(d, c) | B(p, n) | S(j, t) | S(t, d)","[0, 0, 1, 0, 1, 1]"
"[P(t, g)] P(t, s) | P(n, g) | P(p, y) | P(l, w) | B(i, o) | P(s, n) | P(e, q)","[1, 1, 0, 0, 0, 1, 0]"
"[P(h, y)] P(r, y) | P(h, x) | P(f, r) | S(t, n) | P(e, a) | P(x, f) | B(j, v)","[1, 1, 1, 0, 0, 1, 0]"
"[P(g, s)] P(o, u) | B(h, v) | P(w, y) | S(j, e) | P(t, s) | P(k, t) | P(g, o) | P(u, k)","[1, 0, 0, 0, 1, 1, 1, 1]"
"[B(s, c)] B(r, f) | B(b, m) | P(e, n) | B(m, r) | P(g, u) | P(o, t) | B(f, c) | B(s, b)","[1, 1, 0, 1, 0, 0, 1, 1]"
"[S(p, q)] S(m, o) | S(p, g) | S(g, d) | B(x, s) | S(r, k) | S(t, q) | S(n, c) | S(d, t)","[0, 1, 1, 0, 0, 1, 0, 1]"
"[B(f, k)] B(z, h) | P(t, w) | S(r, p) | P(a, j) | B(e, l) | B(h, s) | B(f, z) | B(s, k)","[1, 0, 0, 0, 0, 1, 1, 1]"
"[S(d, r)] S(q, r) | B(i, b) | P(p, y) | P(h, t) | S(u, q) | S(d, u)","[1, 0, 0, 0, 1, 1]"
"[B(v, j)] B(w, k) | B(u, h) | B(k, j) | S(m, i) | B(a, w) | B(v, a) | S(q, z)","[1, 0, 1, 0, 1, 1, 0]"
"[S(p, r)] S(h, a) | S(n, q) | S(v, s) | S(a, r) | S(o, z) | S(q, h) | S(p, n) | B(i, g) | B(l, b)","[1, 1, 0, 1, 0, 1, 1, 0, 0]"
"[P(o, v)] P(r, u) | S(y, b) | P(a, v) | P(k, a) | P(m, k) | P(o, m)","[0, 0, 1, 1, 1, 1]"
"[S(i, u)] S(i, z) | S(h, o) | B(l, d) | S(j, u) | S(z, j)","[1, 0, 0, 1, 1]"
"[B(d, e)] B(h, e) | B(d, p) | B(l, h) | B(t, i) | P(v, b) | B(p, l) | S(r, u)","[1, 1, 1, 0, 0, 1, 0]"
"[S(w, q)] S(r, q) | S(w, f) | S(f, r) | B(i, n) | P(s, d)","[1, 1, 1, 0, 0]"
"[P(a, c)] P(t, c) | P(p, t) | P(d, e) | P(a, p) | P(x, f)","[1, 1, 0, 1, 0]"
"[P(v, w)] P(o, t) | B(f, m) | S(c, e) | P(t, r) | P(v, o) | P(r, w) | P(k, j)","[1, 0, 0, 1, 1, 1, 0]"
"[B(a, w)] B(y, n) | B(h, z) | B(m, c) | P(e, l) | B(a, b) | B(b, h) | B(z, w)","[0, 1, 0, 0, 1, 1, 1]"
"[B(y, w)] B(d, r) | B(r, k) | B(k, j) | B(j, w) | B(y, d) | P(h, v) | B(q, m) | B(b, l)","[1, 1, 1, 1, 1, 0, 0, 0]"
"[P(j, s)] S(v, n) | P(x, w) | S(t, k) | P(w, s) | S(d, e) | P(o, x) | P(p, o) | P(l, b) | P(j, p)","[0, 1, 0, 1, 0, 1, 1, 0, 1]"
"[P(i, o)] S(h, r) | P(s, w) | P(c, o) | P(u, t) | P(i, u) | P(t, c)","[0, 0, 1, 1, 1, 1]"
"[S(n, i)] S(l, u) | S(d, w) | B(h, t) | B(a, z) | S(w, i) | S(n, l) | S(u, d) | P(o, g)","[1, 1, 0, 0, 1, 1, 1, 0]"
"[P(h, w)] P(h, f) | P(m, l) | P(f, m) | P(c, r) | P(l, e) | S(g, y) | P(e, w)","[1, 1, 1, 0, 1, 0, 1]"
